"","match_id.x","tournament","year","winner_name","loser_name","winner_rank","loser_rank","winner_age","winner_ioc","Retirement","w_pointswon","w_gameswon","w_setswon","l_pointswon","l_gameswon","l_setswon","round","a1","a2","match_id.y","player1","player2","Tour","slam","week","w_ave_serve_speed","l_ave_serve_speed","w_n_aces","l_n_aces","w_n_winners","l_n_winners","w_n_netpt_w","l_n_netpt_w","w_n_netpt","l_n_netpt","w_n_bp_w","l_n_bp_w","w_n_bp","l_n_bp","w_n_ue","l_n_ue","w_n_sv_w","l_n_sv_w","w_n_sv","l_n_sv"
"1","2013-520:1","French Open",2013,"Novak Djokovic","David Goffin",1,58,26.0150581793,"SRB",FALSE,114,20,3,99,15,0,"R128","David Goffin","Novak Djokovic","2013-frenchopen-1101","Novak Djokovic","David Goffin","atp","frenchopen","Week 1",107.524752475248,100.375,5,7,26,32,10,10,14,14,3,1,11,2,31,38,73,71,101,112
"2","2013-520:100","French Open",2013,"Mikhail Youzhny","Janko Tipsarevic",31,12,30.9212867899,"RUS",FALSE,96,18,3,77,11,0,"R32","Janko Tipsarevic","Mikhail Youzhny","2013-frenchopen-1304","Mikhail Youzhny","Janko Tipsarevic","atp","frenchopen","Week 1",93.7176470588235,89.9772727272727,3,5,42,22,12,12,18,18,4,0,8,3,29,22,61,53,85,88
"3","2013-520:101","French Open",2013,"Rafael Nadal","Fabio Fognini",4,29,26.9815195072,"ESP",FALSE,122,19,3,111,14,0,"R32","Fabio Fognini","Rafael Nadal","2013-frenchopen-1305","Rafael Nadal","Fabio Fognini","atp","frenchopen","Week 1",101.105769230769,98.6046511627907,5,3,24,47,12,12,15,15,5,3,18,11,40,59,66,73,104,129
"4","2013-520:102","French Open",2013,"Kei Nishikori","Benoit Paire",15,26,23.40862423,"JPN",FALSE,137,24,3,119,15,1,"R32","Benoit Paire","Kei Nishikori","2013-frenchopen-1306","Benoit Paire","Kei Nishikori","atp","frenchopen","Week 1",90.563025210084,91.5182481751825,1,6,27,36,7,7,16,16,8,4,19,9,34,64,76,76,119,137
"5","2013-520:104","French Open",2013,"Richard Gasquet","Nikolay Davydenko",9,48,26.9404517454,"FRA",FALSE,101,18,3,83,11,0,"R32","Nikolay Davydenko","Richard Gasquet","2013-frenchopen-1308","Nikolay Davydenko","Richard Gasquet","atp","frenchopen","Week 1",100.057471264368,99.4742268041237,5,3,27,36,9,9,11,11,5,2,10,3,18,38,59,55,87,97
"6","2013-520:105","French Open",2013,"Tommy Robredo","Gael Monfils",34,81,31.0718685832,"ESP",FALSE,170,27,3,154,23,2,"R32","Gael Monfils","Tommy Robredo","2013-frenchopen-1309","Gael Monfils","Tommy Robredo","atp","frenchopen","Week 1",97.9620253164557,99.2951807228916,4,2,50,61,26,26,33,33,6,4,17,12,52,68,104,100,158,166
"7","2013-520:107","French Open",2013,"Kevin Anderson","Milos Raonic",25,16,27.0253251198,"RSA",FALSE,126,20,3,102,14,0,"R32","Kevin Anderson","Milos Raonic","2013-frenchopen-1311","Milos Raonic","Kevin Anderson","atp","frenchopen","Week 1",91.2474226804124,103.488549618321,8,16,31,50,13,13,25,25,3,1,12,4,15,38,73,78,97,131
"8","2013-520:108","French Open",2013,"David Ferrer","Feliciano Lopez",5,43,31.151266256,"ESP",FALSE,111,19,3,80,10,0,"R32","David Ferrer","Feliciano Lopez","2013-frenchopen-1312","Feliciano Lopez","David Ferrer","atp","frenchopen","Week 1",97.6666666666667,103.048076923077,1,5,35,21,15,15,22,22,7,3,19,5,30,41,58,51,87,104
"9","2013-520:110","French Open",2013,"Viktor Troicki","Marin Cilic",57,11,27.2908966461,"SRB",FALSE,128,20,3,115,15,0,"R32","Marin Cilic","Viktor Troicki","2013-frenchopen-1314","Viktor Troicki","Marin Cilic","atp","frenchopen","Week 1",0,0,7,6,32,34,11,11,17,17,4,2,10,9,36,56,81,70,126,117
"10","2013-520:111","French Open",2013,"Gilles Simon","Sam Querrey",18,20,28.4134154689,"FRA",FALSE,133,23,3,134,23,2,"R32","Gilles Simon","Sam Querrey","2013-frenchopen-1315","Gilles Simon","Sam Querrey","atp","frenchopen","Week 1",91.2262773722628,95.1692307692308,3,9,36,61,6,6,15,15,6,7,10,14,29,50,84,81,137,130
"11","2013-520:112","French Open",2013,"Roger Federer","Julien Benneteau",3,32,31.8001368925,"SUI",FALSE,98,19,3,64,12,0,"R32","Julien Benneteau","Roger Federer","2013-frenchopen-1316","Julien Benneteau","Roger Federer","atp","frenchopen","Week 1",107.240506329114,97.1566265060241,7,2,38,15,6,6,12,12,4,1,4,3,21,31,64,49,79,83
"12","2013-520:113","French Open",2013,"Novak Djokovic","Philipp Kohlschreiber",1,19,26.0150581793,"SRB",FALSE,134,22,3,123,17,1,"R16","Novak Djokovic","Philipp Kohlschreiber","2013-frenchopen-1401","Novak Djokovic","Philipp Kohlschreiber","atp","frenchopen","Week 2",101.716312056738,102.853448275862,2,4,38,48,10,10,24,24,4,2,8,13,42,48,94,76,141,116
"13","2013-520:114","French Open",2013,"Tommy Haas","Mikhail Youzhny",14,31,35.1485284052,"GER",FALSE,82,18,3,54,5,0,"R16","Mikhail Youzhny","Tommy Haas","2013-frenchopen-1402","Tommy Haas","Mikhail Youzhny","atp","frenchopen","Week 2",92.5857142857143,90.448275862069,2,0,24,15,7,7,10,10,8,2,13,6,20,31,43,22,70,58
"14","2013-520:115","French Open",2013,"Rafael Nadal","Kei Nishikori",4,15,26.9815195072,"ESP",FALSE,91,18,3,65,8,0,"R16","Kei Nishikori","Rafael Nadal","2013-frenchopen-1403","Rafael Nadal","Kei Nishikori","atp","frenchopen","Week 2",100.935897435897,96,1,0,20,14,5,5,6,6,5,0,8,4,25,39,55,42,78,78
"15","2013-520:117","French Open",2013,"Tommy Robredo","Nicolas Almagro",34,13,31.0718685832,"ESP",FALSE,169,27,3,165,25,2,"R16","Nicolas Almagro","Tommy Robredo","2013-frenchopen-1405","Tommy Robredo","Nicolas Almagro","atp","frenchopen","Week 2",98.4491017964072,103.934131736527,8,7,42,69,21,21,25,25,7,6,20,13,39,67,104,102,167,167
"16","2013-520:118","French Open",2013,"David Ferrer","Kevin Anderson",5,25,31.151266256,"ESP",FALSE,97,18,3,60,5,0,"R16","David Ferrer","Kevin Anderson","2013-frenchopen-1406","Kevin Anderson","David Ferrer","atp","frenchopen","Week 2",97.9295774647887,109.151162790698,1,5,28,25,6,6,10,10,6,0,17,2,11,41,52,41,71,86
"17","2013-520:12","French Open",2013,"John Isner","Carlos Berlocq",21,71,28.0848733744,"USA",FALSE,97,18,3,83,11,0,"R128","Carlos Berlocq","John Isner","2013-frenchopen-1112","Carlos Berlocq","John Isner","atp","frenchopen","Week 1",112.921348314607,93.9230769230769,14,3,52,27,7,7,13,13,4,1,9,5,29,11,61,55,89,91
"18","2013-520:120","French Open",2013,"Roger Federer","Gilles Simon",3,18,31.8001368925,"SUI",FALSE,147,24,3,131,18,2,"R16","Gilles Simon","Roger Federer","2013-frenchopen-1408","Gilles Simon","Roger Federer","atp","frenchopen","Week 2",102.410256410256,98.8571428571429,9,5,60,32,13,13,19,19,6,3,14,6,56,47,79,93,117,161
"19","2013-520:123","French Open",2013,"David Ferrer","Tommy Robredo",5,34,31.151266256,"ESP",FALSE,84,18,3,46,4,0,"QF","David Ferrer","Tommy Robredo","2013-frenchopen-1503","Tommy Robredo","David Ferrer","atp","frenchopen","Week 2",94.0161290322581,96.9852941176471,1,2,26,9,4,4,6,6,7,0,12,1,18,28,47,31,62,68
"20","2013-520:125","French Open",2013,"Rafael Nadal","Novak Djokovic",4,1,26.9815195072,"ESP",FALSE,177,30,3,158,25,2,"SF","Novak Djokovic","Rafael Nadal","2013-frenchopen-1601","Novak Djokovic","Rafael Nadal","atp","frenchopen","Week 2",97.45,102.931428571429,6,5,61,54,24,24,38,38,8,5,16,9,44,75,108,106,160,175
"21","2013-520:127","French Open",2013,"Rafael Nadal","David Ferrer",4,5,26.9815195072,"ESP",FALSE,100,18,3,72,8,0,"F","David Ferrer","Rafael Nadal","2013-frenchopen-1701","Rafael Nadal","David Ferrer","atp","frenchopen","Week 2",100.011494252874,97.8705882352941,5,1,35,22,12,12,16,16,8,3,16,12,25,35,54,39,87,85
"22","2013-520:15","French Open",2013,"Fernando Verdasco","Marc Gicquel",53,126,29.53045859,"ESP",FALSE,89,18,3,58,6,0,"R128","Fernando Verdasco","Marc Gicquel","2013-frenchopen-1115","Fernando Verdasco","Marc Gicquel","atp","frenchopen","Week 1",93.1428571428571,95.5714285714286,4,1,25,11,7,7,9,9,7,1,13,3,22,25,48,36,70,77
"23","2013-520:16","French Open",2013,"Janko Tipsarevic","Nicolas Mahut",12,173,28.9281314168,"SRB",FALSE,98,19,3,75,9,0,"R128","Janko Tipsarevic","Nicolas Mahut","2013-frenchopen-1116","Nicolas Mahut","Janko Tipsarevic","atp","frenchopen","Week 1",87.1294117647059,99.7721518987342,8,6,29,26,11,11,26,26,5,1,8,6,15,35,57,45,85,79
"24","2013-520:17","French Open",2013,"Rafael Nadal","Daniel Brands",4,59,26.9815195072,"ESP",FALSE,140,23,3,115,19,1,"R128","Daniel Brands","Rafael Nadal","2013-frenchopen-1117","Rafael Nadal","Daniel Brands","atp","frenchopen","Week 1",99.4955752212389,106.140845070423,2,10,40,51,14,14,16,16,3,1,8,4,26,53,86,88,113,142
"25","2013-520:21","French Open",2013,"Benoit Paire","Marcos Baghdatis",26,39,24.052019165,"FRA",FALSE,149,22,3,144,20,1,"R128","Benoit Paire","Marcos Baghdatis","2013-frenchopen-1121","Benoit Paire","Marcos Baghdatis","atp","frenchopen","Week 1",98.3481012658228,96.8888888888889,8,2,68,25,25,25,35,35,3,2,7,16,62,33,100,86,158,135
"26","2013-520:22","French Open",2013,"Lukasz Kubot","Maxime Teixeira",107,284,31.0308008214,"POL",FALSE,154,24,3,143,19,1,"R128","Lukasz Kubot","Maxime Teixeira","2013-frenchopen-1122","Lukasz Kubot","Maxime Teixeira","atp","frenchopen","Week 1",94.2253521126761,94.2838709677419,4,6,48,44,28,28,55,55,8,6,21,11,58,57,82,83,142,155
