pitch_type,batted_ball_type,hit_x,hit_y,exit_velocity,launch_angle,outcome,batter_stand,hit_distance,player
FF,line_drive,65.39,77.45000000000002,92.3,15,triple,R,242,trout
FF,fly_ball,-107.26,147.47000000000003,110.3,26,home_run,R,429,trout
FF,fly_ball,49.980000000000004,90.80000000000001,80,46,field_out,R,248,trout
SI,line_drive,-89.48,98.45000000000002,112.1,19,double,R,346,trout
SI,line_drive,-70.76,128.86,108.9,16,field_out,R,349,trout
FF,ground_ball,-9.260000000000005,53.630000000000024,83,-11,field_out,R,15,trout
FF,fly_ball,-117.57000000000001,124.43,106.9,25,home_run,R,403,trout
FT,fly_ball,76.16000000000001,94.93,94.3,49,field_out,R,288,trout
FF,fly_ball,-12.040000000000006,123.08000000000001,102.2,51,field_out,R,296,trout
CU,fly_ball,-52.2,166.60000000000002,107.7,25,home_run,R,413,trout
FF,fly_ball,56.61999999999999,118.18,89.7,36,field_out,R,312,trout
FF,popup,21.89999999999999,-0.8799999999999955,80,69,field_out,R,NA,trout
FF,line_drive,-71.22,76.93,96.1,14,single,R,198,trout
FF,line_drive,8.559999999999988,61.84,55,26,field_out,R,156,trout
SI,ground_ball,-21.230000000000004,26.30000000000001,106,-2,field_out,R,32,trout
FT,line_drive,-28.960000000000008,67.19,65.1,20,single,R,180,trout
SI,ground_ball,-50.629999999999995,83.08000000000001,99,6,single,R,114,trout
FC,line_drive,31.070000000000007,89.57000000000001,75.6,14,single,R,175,trout
SL,fly_ball,NA,NA,111.9,24,home_run,R,427,trout
FF,line_drive,-1.960000000000008,102.54,82.4,17,single,R,248,trout
FF,line_drive,-28.269999999999996,36.370000000000005,107.1,9,field_out,R,161,trout
CH,fly_ball,-71.55000000000001,172.14000000000001,114.4,20,home_run,R,440,trout
FC,fly_ball,33.91000000000001,143.46,103.4,42,field_out,R,350,trout
CH,fly_ball,47.719999999999985,148.78,103.9,37,field_out,R,369,trout
SL,line_drive,-92.71000000000001,90.68,106.7,5,double,R,115,trout
FF,fly_ball,48.239999999999995,61.05000000000001,62.4,32,single,R,189,trout
FF,fly_ball,78.58999999999999,108.35000000000001,99.6,46,field_out,R,316,trout
FT,ground_ball,-13.379999999999995,30.939999999999998,88.1,-18,field_out,R,8,trout
FC,fly_ball,61.86,122.79,97.3,44,field_out,R,326,trout
FF,ground_ball,-27.310000000000002,32.150000000000006,103.9,7,field_out,R,121,trout
CH,line_drive,-55.019999999999996,114.62,94.7,25,double,R,331,trout
FT,line_drive,-17.97,54.91,111.7,6,field_out,R,154,trout
SL,fly_ball,-4.6000000000000085,163.77,108.3,38,home_run,R,NA,trout
FF,fly_ball,36.519999999999996,89.07000000000001,80.5,48,field_out,R,232,trout
CH,fly_ball,48.07000000000001,90.65,91.7,55,field_out,R,246,trout
SL,ground_ball,-20.769999999999996,31.22,70.7,1,field_out,R,32,trout
CU,line_drive,-95.39,109.63000000000001,98.3,24,double,R,343,trout
CU,ground_ball,5.779999999999987,12.159999999999997,60.3,-67,field_out,R,1,trout
FF,ground_ball,-25.72,27.909999999999997,93,7,field_out,R,105,trout
FF,ground_ball,22.549999999999997,33.51000000000002,69,7,field_out,R,94,trout
CH,ground_ball,-86.47,75.30000000000001,96.6,-4,double,R,21,trout
SI,fly_ball,-53.31,132.84,97.7,34,field_out,R,376,trout
FF,fly_ball,-106.01,124.97000000000001,99.8,27,home_run,R,375,trout
FF,line_drive,-39.760000000000005,130.61,86.6,25,field_out,R,326,trout
FF,popup,28.33,-5.399999999999977,80,69,field_out,R,NA,trout
FF,fly_ball,37.08999999999999,113.92000000000002,82,35,field_out,R,287,trout
FF,line_drive,74.52999999999999,135.53,102.6,22,field_out,R,365,trout
SL,fly_ball,16.779999999999987,127.88000000000001,94,42,field_out,R,308,trout
FF,line_drive,-0.39000000000000057,96.30000000000001,77.2,19,single,R,234,trout
FF,line_drive,78.7,73.91000000000001,87.9,18,double,R,256,trout
SI,fly_ball,-17.14,149.55,90.5,31,field_out,R,358,trout
FF,fly_ball,-86.07,181.53,112.8,27,home_run,R,473,trout
SL,ground_ball,-24.540000000000006,129.34,109.6,6,single,R,140,trout
FT,fly_ball,20.279999999999987,142.06,104.6,40,field_out,R,359,trout
FF,line_drive,35.42,139.93,93.4,24,double,R,343,trout
FF,popup,45.969999999999985,19.78,80,69,field_out,R,NA,trout
FF,line_drive,-51.620000000000005,100.26,90.9,19,single,R,270,trout
FT,ground_ball,-20.210000000000008,42.73000000000002,84.6,2,grounded_into_double_play,R,48,trout
CU,ground_ball,-29.739999999999995,32.400000000000006,104.1,-1,field_out,R,30,trout
CU,line_drive,-3.030000000000001,127.76,95.3,15,single,R,266,trout
CU,ground_ball,-26.510000000000005,102.15,100.9,3,single,R,81,trout
FF,line_drive,64.44000000000001,71.50000000000001,85.4,18,single,R,230,trout
FT,ground_ball,-10.159999999999997,50.670000000000016,114.6,-12,field_out,R,8,trout
CH,fly_ball,-4.400000000000006,179.83,106.2,27,home_run,R,426,trout
CH,ground_ball,10.11999999999999,9.090000000000003,34.1,-4,force_out,R,41,trout
CH,ground_ball,-27.290000000000006,31.830000000000013,79.6,-11,force_out,R,11,trout
FF,popup,14.86999999999999,32.33000000000001,80,69,field_out,R,NA,trout
FF,ground_ball,-23.730000000000004,43,79.8,-2,force_out,R,30,trout
SL,line_drive,-35.41,152.72000000000003,108.5,16,double,R,365,trout
FF,fly_ball,-43.540000000000006,160.85000000000002,106.7,38,home_run,R,391,trout
SL,line_drive,33.269999999999996,160.01000000000002,104.4,22,sac_fly,R,387,trout
FF,ground_ball,-25.78,21.26000000000002,52.2,13,field_error,R,86,trout
FF,fly_ball,-52.629999999999995,84.63000000000001,84,50,field_out,R,240,trout
SL,fly_ball,49.959999999999994,108.92000000000002,93.8,43,field_out,R,285,trout
FT,line_drive,-83.12,113.36000000000001,115.3,16,double,R,333,trout
SL,fly_ball,73.92,95.75000000000001,93,42,field_out,R,300,trout
SL,ground_ball,18.190000000000012,21.25,64.3,-64,field_out,R,1,trout
NA,ground_ball,-17.08,41.150000000000006,84,-13,field_out,R,NA,trout
NA,popup,60.45,43.57000000000002,75,60,field_out,R,NA,trout
