period,clock,las_score,con_score,description,team,event,x_loc,y_loc,field_goal_type,shot_made,assisted,shooting_foul,distance_from_hoop
1,09:40,2,0,[LAS 2-0] Ogwumike Jump Shot: Made (2 PTS) Assist: Wiese (1 AST),las,field_goal_attempt,142,111,two_pointer,0,1,0,18.023595645708433
1,09:22,2,0,[CON] Jones Driving Layup Shot: Missed,con,field_goal_attempt,49,8,two_pointer,1,0,0,4.964876634922565
1,09:17,2,0,[CON] Stricklen 3pt Shot: Missed,con,field_goal_attempt,-1,280,three_pointer,1,0,0,28.000178570859152
1,09:02,2,0,[LAS] Wiese 3pt Shot: Missed,las,field_goal_attempt,164,186,three_pointer,1,0,0,24.797580527140145
1,08:43,2,0,[CON] Thomas Driving Floating Jump Shot: Missed,con,field_goal_attempt,-8,81,two_pointer,1,0,0,8.139410298049853
1,08:19,2,0,[LAS] Gray 3pt Shot: Missed,las,field_goal_attempt,-163,176,three_pointer,1,0,0,23.988538930080757
1,08:10,2,0,[CON] Thomas Turnover : Out of Bounds - Bad Pass Turnover (1 TO),con,turnover,119,60,NA,0,0,0,13.32704018152568
1,07:51,4,0,[LAS 4-0] Ruffin-Pratt Jump Shot: Made (2 PTS) Assist: Ogwumike (1 AST),las,field_goal_attempt,145,23,two_pointer,0,1,0,14.681280598094977
1,07:33,4,2,[CON 2-4] Thomas Driving Finger Roll Layup Shot: Made (2 PTS),con,field_goal_attempt,25,5,two_pointer,0,1,0,2.5495097567963922
1,07:11,4,2,[LAS] Ogwumike Jump Shot: Missed,las,field_goal_attempt,26,146,two_pointer,1,0,0,14.829699929533302
1,07:03,4,2,[LAS] Ogwumike Foul: Personal (1 PF),las,foul,-109,-4,NA,0,0,0,10.907336980216574
1,06:56,4,4,[CON 4-4] Williams Fadeaway Jump Shot: Made (2 PTS),con,field_goal_attempt,130,90,two_pointer,0,1,0,15.811388300841896
1,06:36,4,4,[LAS] Ruffin-Pratt Jump Shot: Missed,las,field_goal_attempt,100,148,two_pointer,1,0,0,17.861690849412884
1,06:29,4,6,[CON 6-4] Thomas Running Layup Shot: Made (4 PTS) Assist: Thomas (1 AST),con,field_goal_attempt,21,7,two_pointer,0,1,0,2.2135943621178655
1,06:09,4,6,[LAS] Gray Jump Shot: Missed Block: Thomas (1 BLK),las,field_goal_attempt,1,208,two_pointer,1,0,0,20.800240383226345
1,06:00,4,6,[CON] Thomas 3pt Shot: Missed,con,field_goal_attempt,148,190,three_pointer,1,0,0,24.084019598065435
1,05:53,4,6,[CON] Stricklen Foul: Personal (1 PF),con,foul,143,115,NA,0,0,0,18.350476833041697
1,05:44,6,6,[LAS 6-6] Wiese Jump Shot: Made (2 PTS) Assist: Gray (1 AST),las,field_goal_attempt,7,185,two_pointer,0,1,0,18.513238506539043
1,05:30,6,8,[CON 8-6] Williams Pullup Jump shot: Made (4 PTS) Assist: Jones (1 AST),con,field_goal_attempt,28,164,two_pointer,0,1,0,16.637307474468336
1,05:15,6,8,[LAS] Ogwumike Turnover : Bad Pass (1 TO) Steal:Thomas (1 ST),las,turnover,-63,199,NA,0,0,0,20.873428084528904
1,05:15,6,8,[LAS] Gray Foul: Personal (1 PF),las,foul,67,506,NA,0,0,0,51.041649659861115
1,04:51,6,8,[CON] Thomas Driving Hook Shot: Missed,con,field_goal_attempt,-47,85,two_pointer,1,0,0,9.712878049270463
1,04:48,6,8,[LAS] Ogwumike Foul: Shooting (1 PF) (2 FTA),las,foul,-24,69,NA,0,0,1,7.305477397131552
1,04:26,6,10,[LAS] Gray Turnover : Lost Ball (1 TO) Steal:Thomas (2 ST),las,turnover,17,189,NA,0,0,0,18.976301009416982
1,04:20,6,12,[CON 12-6] Stricklen Running Layup Shot: Made (2 PTS) Assist: Thomas (2 AST),con,field_goal_attempt,21,15,two_pointer,0,1,0,2.5806975801127883
1,04:09,6,12,[LAS] Ruffin-Pratt Turnover : Bad Pass (1 TO) Steal:Thomas (3 ST),las,turnover,132,266,NA,0,0,0,29.6951174437819
1,04:02,6,14,[CON 14-6] Thomas Running Finger Roll Layup Shot: Made (6 PTS),con,field_goal_attempt,15,12,two_pointer,0,1,0,1.9209372712298547
1,03:49,6,14,[LAS] Wiese 3pt Shot: Missed,las,field_goal_attempt,-228,38,three_pointer,1,0,0,23.114497615133235
1,03:39,6,14,[CON] Thomas 3pt Shot: Missed,con,field_goal_attempt,139,214,three_pointer,1,0,0,25.518032839543096
1,03:36,6,14,[CON] Thomas Putback Layup Shot: Missed,con,field_goal_attempt,0,-5,two_pointer,1,0,0,0.5
1,03:34,6,14,[LAS] Gray Foul: Loose Ball (2 PF),las,foul,-36,51,NA,0,0,0,6.2425956140054435
1,03:24,6,16,[CON 16-6] Banham Floating Jump shot: Made (2 PTS),con,field_goal_attempt,61,18,two_pointer,0,1,0,6.360031446463138
1,03:13,6,16,[LAS] Ogwumike Turnover : Out of Bounds - Bad Pass Turnover (2 TO),las,turnover,143,124,NA,0,0,0,18.9274932307477
