year,league,team_id,team_name,win_world_series,final_rank,games_played,wins,losses,runs_scored,hits,at_bats,walks,strikeouts,homeruns,hit_by_pitch,sacrifice_flies,runs_allowed,hits_allowed,walks_allowed,strikeouts_against,homeruns_allowed
1871,"NA",BS1,Boston Red Stockings,NA,3,31,20,10,401,426,1372,60,19,3,NA,NA,303,367,42,23,2
1871,"NA",CH1,Chicago White Stockings,NA,2,28,19,9,302,323,1196,60,22,10,NA,NA,241,308,28,22,6
1871,"NA",CL1,Cleveland Forest Citys,NA,8,29,10,19,249,328,1186,26,25,7,NA,NA,341,346,53,34,13
1871,"NA",FW1,Fort Wayne Kekiongas,NA,7,19,7,12,137,178,746,33,9,2,NA,NA,243,261,21,17,5
1871,"NA",NY2,New York Mutuals,NA,5,33,16,17,302,403,1404,33,15,1,NA,NA,313,373,42,22,7
1871,"NA",PH1,Philadelphia Athletics,NA,1,28,21,7,376,410,1281,46,23,9,NA,NA,266,329,53,16,3
1871,"NA",RC1,Rockford Forest Citys,NA,9,25,4,21,231,274,1036,38,30,3,NA,NA,287,315,34,16,3
1871,"NA",TRO,Troy Haymakers,NA,6,29,13,15,351,384,1248,49,19,6,NA,NA,362,431,75,12,4
1871,"NA",WS3,Washington Olympics,NA,4,32,15,15,310,375,1353,48,13,6,NA,NA,303,371,45,13,4
1872,"NA",BL1,Baltimore Canaries,NA,2,58,35,19,617,753,2571,29,28,14,NA,NA,434,573,63,77,3
1872,"NA",BR1,Brooklyn Eckfords,NA,9,29,3,26,152,248,1072,18,40,0,NA,NA,413,484,36,13,7
1872,"NA",BR2,Brooklyn Atlantics,NA,6,37,9,28,237,377,1457,19,25,1,NA,NA,473,568,21,13,6
1872,"NA",BS1,Boston Red Stockings,NA,1,48,39,8,521,673,2126,29,26,7,NA,NA,236,443,27,29,0
1872,"NA",CL1,Cleveland Forest Citys,NA,7,22,6,16,174,272,943,17,13,0,NA,NA,254,285,24,11,6
1872,"NA",MID,Middletown Mansfields,NA,8,24,5,19,220,275,1013,10,13,2,NA,NA,348,366,15,10,6
1872,"NA",NY2,New York Mutuals,NA,3,56,34,20,523,670,2426,58,52,4,NA,NA,362,622,33,46,2
1872,"NA",PH1,Philadelphia Athletics,NA,4,47,30,14,539,679,2142,69,47,4,NA,NA,349,508,26,44,3
1872,"NA",TRO,Troy Haymakers,NA,5,25,15,10,273,330,1099,9,14,5,NA,NA,191,277,10,19,2
1872,"NA",WS3,Washington Olympics,NA,10,9,2,7,54,91,365,4,4,0,NA,NA,140,148,5,1,0
1872,"NA",WS4,Washington Nationals,NA,11,11,0,11,80,99,451,1,3,0,NA,NA,190,193,3,2,2
1873,"NA",BL1,Baltimore Canaries,NA,3,57,34,22,644,810,2560,43,30,9,NA,NA,451,680,43,37,4
1873,"NA",BL4,Baltimore Marylands,NA,9,6,0,6,26,33,211,NA,3,0,NA,NA,152,144,1,0,1
1873,"NA",BR2,Brooklyn Atlantics,NA,6,55,17,37,366,588,2207,55,47,6,NA,NA,549,737,43,16,8
1873,"NA",BS1,Boston Red Stockings,NA,1,60,43,16,739,933,2748,68,36,13,NA,NA,460,708,42,55,5
1873,"NA",ELI,Elizabeth Resolutes,NA,8,23,2,21,98,204,869,9,30,0,NA,NA,299,343,10,10,6
1873,"NA",NY2,New York Mutuals,NA,4,53,29,24,424,622,2211,43,22,5,NA,NA,385,539,68,80,5
1873,"NA",PH1,Philadelphia Athletics,NA,5,52,28,23,474,683,2267,35,33,4,NA,NA,403,553,58,41,4
1873,"NA",PH2,Philadelphia Whites,NA,2,53,36,17,526,645,2326,62,41,8,NA,NA,396,628,44,29,3
1873,"NA",WS5,Washington Blue Legs,NA,7,39,8,31,283,408,1560,20,36,2,NA,NA,485,594,26,10,11
1874,"NA",BL1,Baltimore Canaries,NA,8,47,9,38,227,435,1776,22,37,1,NA,NA,505,640,39,20,3
1874,"NA",BR2,Brooklyn Atlantics,NA,6,56,22,33,301,498,2169,31,51,1,NA,NA,450,618,11,42,15
1874,"NA",BS1,Boston Red Stockings,NA,1,71,52,18,735,977,3129,34,28,17,NA,NA,415,779,23,31,1
1874,"NA",CH2,Chicago White Stockings,NA,5,59,28,31,418,685,2462,32,54,4,NA,NA,480,684,45,26,7
1874,"NA",HR1,Hartford Dark Blues,NA,7,53,16,37,371,591,2144,31,63,2,NA,NA,471,653,28,39,1
1874,"NA",NY2,New York Mutuals,NA,2,65,42,23,501,714,2730,36,40,7,NA,NA,377,663,41,101,3
1874,"NA",PH1,Philadelphia Athletics,NA,3,55,33,22,441,647,2259,24,51,6,NA,NA,344,514,32,37,6
1874,"NA",PH2,Philadelphia Whites,NA,4,58,29,29,476,677,2435,28,33,2,NA,NA,428,673,19,61,4
1875,"NA",BR2,Brooklyn Atlantics,NA,11,44,2,42,132,304,1562,8,36,2,NA,NA,438,535,17,16,6
