team,season,points_scored,points_allowed,wins,losses,ties,off_total_yards_gained,off_n_pass_touchdowns,off_n_run_touchdowns,off_n_touchdowns,off_pass_or_run_plays,off_n_sacks_allowed,off_n_qb_hits_allowed,off_n_fumbles_lost,off_n_tackled_for_loss,off_n_interceptions_thrown,def_total_yards_allowed,def_n_pass_touchdowns,def_n_run_touchdowns,def_n_touchdowns,def_pass_or_run_plays,def_n_sacks,def_n_qb_hits,def_n_fumbles_forced,def_n_tackles_for_loss,def_n_interceptions,off_pass_completion_perc,off_pass_plays,off_pass_total_yards_gained,off_run_plays,off_run_total_yards_gained,def_pass_completion_perc,def_pass_plays,def_pass_total_yards_gained,def_run_plays,def_run_total_yards_gained,score_differential,division
PIT,2009,368,324,9,7,0,5955,28,10,38,994,50,71,9,42,11,4900,22,7,29,957,46,63,10,34,12,0.6041308089500861,581,4148,413,1807,0.5396290050590219,593,3452,364,1448,44,AFC North
PIT,2010,375,232,12,4,0,5536,22,15,37,971,43,66,8,43,7,4438,15,5,20,963,47,68,10,30,20,0.5831702544031311,511,3600,460,1936,0.5707547169811321,636,3427,327,1011,143,AFC North
PIT,2011,325,227,12,4,0,5970,21,13,34,996,42,71,13,39,14,4353,15,7,22,957,35,66,3,33,11,0.5899653979238755,578,4054,418,1916,0.5160714285714286,560,2751,397,1602,98,AFC North
PIT,2012,336,314,8,8,0,5339,26,9,35,1007,37,62,15,42,14,4430,19,9,28,936,37,64,9,36,10,0.5863787375415282,602,3778,405,1561,0.5368043087971275,557,2965,379,1465,22,AFC North
PIT,2013,379,370,8,8,0,4991,28,9,37,989,42,57,10,35,12,4967,20,18,38,1007,34,64,10,24,10,0.6112026359143328,607,3692,382,1299,0.5454545454545454,594,3228,413,1739,9,AFC North
PIT,2014,436,368,11,5,0,6586,33,10,43,1043,34,61,10,37,10,5662,30,9,39,935,33,77,9,31,11,0.6431924882629108,639,4818,404,1768,0.6104347826086957,575,4057,360,1605,68,AFC North
PIT,2015,423,319,10,6,0,6356,26,16,42,999,33,52,4,38,21,5823,29,6,35,1038,48,75,10,38,14,0.6196513470681458,631,4612,368,1744,0.6036036036036037,666,4352,372,1471,104,AFC North
PIT,2016,399,327,11,5,0,5979,33,13,46,1016,21,55,4,26,15,5489,20,15,35,989,38,81,8,41,9,0.612540192926045,622,4203,394,1776,0.6096,625,3884,364,1605,72,AFC North
PIT,2017,406,308,13,3,0,6088,29,12,41,1029,24,58,4,36,13,4920,20,14,34,932,56,103,6,45,16,0.6290849673202614,612,4392,417,1696,0.5390199637023594,551,3219,381,1701,98,AFC North
PIT,2018,428,360,9,6,1,6478,35,16,51,1043,24,70,9,29,16,5248,27,13,40,977,52,111,6,33,7,0.6446629213483146,712,5016,331,1462,0.5857605177993528,618,3699,359,1549,68,AFC North
CLE,2009,245,375,5,11,0,4170,11,10,21,964,30,53,13,41,16,6240,22,15,37,1046,40,82,6,28,9,0.4669509594882729,469,2076,495,2094,0.566003616636528,553,3909,493,2331,-130,AFC North
CLE,2010,271,332,5,11,0,4639,13,13,26,908,35,54,10,27,16,5615,26,7,33,1021,29,67,8,22,19,0.5818540433925049,507,2978,401,1661,0.5800376647834274,531,3531,490,2084,-61,AFC North
CLE,2011,218,307,4,12,0,4631,16,4,20,1009,40,78,5,30,12,5332,16,12,28,1017,31,52,11,45,9,0.5298013245033113,604,3088,405,1543,0.5321285140562249,498,2962,519,2370,-89,AFC North
CLE,2012,302,368,5,11,0,5035,16,12,28,986,36,75,5,36,17,5836,27,14,41,1073,38,63,12,27,17,0.5503355704697986,596,3435,390,1600,0.5990491283676703,631,3925,442,1911,-66,AFC North
CLE,2013,308,406,4,12,0,4655,26,4,30,1065,50,110,7,33,19,4721,29,13,42,1085,40,76,6,42,14,0.5242047026279392,723,3421,342,1234,0.5636645962732919,644,3123,441,1598,-98,AFC North
CLE,2014,299,337,7,9,0,5199,12,17,29,1000,30,76,6,64,15,5859,22,13,35,1097,30,65,5,34,20,0.5207547169811321,530,3485,470,1714,0.5518945634266886,607,3587,490,2272,-38,AFC North
CLE,2015,278,432,3,13,0,5323,20,5,25,1036,53,96,15,47,12,6085,34,11,45,983,29,60,11,39,11,0.5612708018154312,661,3786,375,1537,0.5974025974025974,539,4016,444,2069,-154,AFC North
CLE,2016,264,452,1,15,0,4982,15,13,28,979,66,123,11,46,11,6295,36,18,54,1053,26,68,2,32,10,0.5356576862123613,631,3268,348,1714,0.6130742049469965,566,4000,487,2295,-188,AFC North
CLE,2017,234,410,0,16,0,4946,15,11,26,1001,50,120,11,30,25,5254,28,14,42,1005,34,68,6,75,7,0.5040387722132472,619,3228,382,1718,0.644524236983842,557,3656,448,1598,-176,AFC North
CLE,2018,359,392,7,8,1,5920,29,15,44,1014,38,69,6,43,17,6305,21,20,41,1106,37,83,14,52,14,0.5749185667752443,614,4011,400,1909,0.5972644376899696,658,4129,448,2176,-33,AFC North
NO,2009,510,341,13,3,0,6476,34,21,55,1014,21,47,14,36,12,5730,15,19,34,1028,36,77,9,39,23,0.6725978647686833,562,4346,452,2130,0.55,600,3763,428,1967,169,NFC South
NO,2010,384,307,11,5,0,5986,33,9,42,1048,26,60,7,33,22,4913,13,13,26,939,33,64,13,39,9,0.6612903225806451,682,4455,366,1531,0.5806451612903226,527,3107,412,1806,77,NFC South
NO,2011,547,339,13,3,0,7798,49,16,65,1134,27,54,5,31,13,6205,24,14,38,1029,33,75,7,31,8,0.6964539007092199,705,5643,429,2155,0.563338301043219,671,4425,358,1780,208,NFC South
NO,2012,461,454,7,9,0,6589,43,10,53,1047,26,53,4,37,18,7062,31,18,49,1069,28,71,10,46,13,0.613933236574746,689,4997,358,1592,0.593900481540931,623,4690,446,2372,7,NFC South
NO,2013,414,304,11,5,0,6392,39,10,49,1048,38,72,3,42,11,4899,20,11,31,931,49,91,8,41,12,0.6510263929618768,682,4893,366,1499,0.5537340619307832,549,3105,382,1794,110,NFC South
NO,2014,401,424,7,9,0,6591,33,16,49,1080,30,75,12,33,16,6162,26,17,43,1011,34,60,5,40,12,0.6676427525622255,683,4764,397,1827,0.5889464594127807,579,4025,432,2137,-23,NFC South
