"Team","season","TOI","GP","GF","GA","G_diff","xGF","xGA","xG_diff","SF","SA","S_diff","FF","FA","F_diff","CF","CA","C_diff","Sh_perc","SV_perc","GF_perc","xGF_perc","SF_perc","FF_perc","CF_perc","PEND2","PENT2","PEND5","PENT5","PEN2_diff"
"ANA","20072008",4907.32,82,197,184,13,178.1,191.32,-13.22,2241,2300,-59,3142,3112,30,3935,3832,103,8.79,92,51.71,48.21,49.35,50.24,50.66,444,488,54,57,-44
"ANA","20082009",4987.58,82,238,235,3,213.48,213.77,-0.28,2481,2500,-19,3465,3478,-13,4336,4279,57,9.59,90.6,50.32,49.97,49.81,49.91,50.33,373,450,56,68,-77
"ANA","20092010",4795.87,82,233,243,-10,208.67,241.54,-32.87,2472,2737,-265,3422,3828,-406,4363,4771,-408,9.43,91.12,48.95,46.35,47.46,47.2,47.77,365,386,51,52,-21
"ANA","20102011",4992.72,82,235,233,2,203,240.45,-37.45,2334,2649,-315,3219,3794,-575,4093,5041,-948,10.07,91.2,50.21,45.78,46.84,45.9,44.81,327,344,43,41,-17
"ANA","20112012",4986.85,82,201,224,-23,210.59,225.21,-14.62,2292,2366,-74,3309,3413,-104,4407,4588,-181,8.77,90.53,47.29,48.32,49.21,49.23,48.99,301,316,28,25,-15
"ANA","20122013",2936.3,48,134,115,19,126.54,121.12,5.43,1347,1340,7,1871,1967,-96,2523,2743,-220,9.95,91.42,53.82,51.09,50.13,48.75,47.91,149,171,11,11,-22
"ANA","20132014",4990.88,82,263,203,60,242.59,218,24.58,2569,2354,215,3588,3436,152,4707,4678,29,10.24,91.38,56.44,52.67,52.18,51.08,50.15,310,315,23,20,-5
"ANA","20142015",5002.73,82,228,221,7,225.24,207.47,17.76,2458,2367,91,3578,3360,218,4719,4522,197,9.28,90.66,50.78,52.05,50.94,51.57,51.07,275,311,27,25,-36
"ANA","20152016",4977.03,82,215,188,27,236.15,202.97,33.18,2485,2259,226,3568,3206,362,4738,4384,354,8.65,91.68,53.35,53.78,52.38,52.67,51.94,302,343,36,31,-41
"ANA","20162017",4979.78,82,220,197,23,239.64,227.01,12.63,2426,2430,-4,3457,3511,-54,4579,4659,-80,9.07,91.89,52.76,51.35,49.96,49.61,49.57,292,322,37,37,-30
"ANA","20172018",5002.32,82,231,209,22,242.52,258.89,-16.37,2476,2717,-241,3522,3853,-331,4647,5086,-439,9.33,92.31,52.5,48.37,47.68,47.76,47.74,250,313,27,26,-63
"ANA","20182019",4872.03,82,196,247,-51,206.92,267.22,-60.3,2272,2726,-454,3278,3854,-576,4394,5050,-656,8.63,90.94,44.24,43.64,45.46,45.96,46.53,246,302,11,11,-56
"ARI","20072008",4994.93,82,209,225,-16,199.57,218.77,-19.2,2500,2518,-18,3390,3515,-125,4394,4533,-139,8.36,91.06,48.16,47.71,49.82,49.09,49.22,394,380,34,38,14
"ARI","20082009",4901.5,81,200,248,-48,185.97,214.97,-29.01,2269,2555,-286,3148,3621,-473,4157,4808,-651,8.81,90.29,44.64,46.38,47.04,46.51,46.37,392,341,53,54,51
"ARI","20092010",5032.58,82,211,196,15,199.32,204.69,-5.37,2504,2427,77,3495,3439,56,4575,4409,166,8.43,91.92,51.84,49.34,50.78,50.4,50.92,341,341,30,31,0
"ARI","20102011",4995.48,82,226,220,6,217.06,237.33,-20.27,2486,2672,-186,3518,3770,-252,4658,4826,-168,9.09,91.77,50.67,47.77,48.2,48.27,49.11,326,340,22,21,-14
"ARI","20112012",4831.95,79,202,187,15,203.62,217.32,-13.7,2340,2504,-164,3315,3525,-210,4432,4563,-131,8.63,92.53,51.93,48.37,48.31,48.46,49.27,277,279,23,24,-2
"ARI","20122013",2945.2,48,121,125,-4,123.13,129.99,-6.86,1483,1468,15,2085,2064,21,2780,2753,27,8.16,91.49,49.19,48.64,50.25,50.25,50.24,195,192,17,16,3
"ARI","20132014",5016.35,82,210,224,-14,202.97,226.25,-23.28,2498,2541,-43,3496,3506,-10,4704,4635,69,8.41,91.18,48.39,47.29,49.57,49.93,50.37,329,321,17,16,8
"ARI","20142015",4995.43,82,165,267,-102,194.76,249.09,-54.33,2393,2722,-329,3384,3790,-406,4618,5061,-443,6.9,90.19,38.19,43.88,46.78,47.17,47.71,268,318,26,26,-50
"ARI","20152016",4956.22,82,208,244,-36,200.43,224.14,-23.7,2266,2541,-275,3200,3640,-440,4357,4790,-433,9.18,90.4,46.02,47.21,47.14,46.78,47.63,343,355,22,22,-12
"ARI","20162017",4985.78,82,191,258,-67,187.91,261.32,-73.42,2281,2797,-516,3228,4037,-809,4285,5252,-967,8.37,90.78,42.54,41.83,44.92,44.43,44.93,272,301,18,19,-29
"ARI","20172018",4999.25,82,206,251,-45,213.27,248.67,-35.4,2449,2643,-194,3475,3855,-380,4788,5040,-252,8.41,90.5,45.08,46.17,48.1,47.41,48.72,282,263,15,14,19
"ARI","20182019",4980.35,82,209,220,-11,220.01,226.15,-6.14,2520,2527,-7,3526,3557,-31,4724,4855,-131,8.29,91.29,48.72,49.31,49.93,49.78,49.32,292,266,7,7,26
"ATL","20072008",5011.78,82,207,266,-59,175.49,219.35,-43.87,2115,2782,-667,2801,3687,-886,3652,4763,-1111,9.79,90.44,43.76,44.45,43.19,43.17,43.4,357,390,18,22,-33
"ATL","20082009",4981.48,82,250,279,-29,215.47,242.73,-27.26,2306,2683,-377,3155,3605,-450,4122,4727,-605,10.84,89.6,47.26,47.03,46.22,46.67,46.58,414,422,45,44,-8
"ATL","20092010",4988,82,230,250,-20,204.64,245.61,-40.97,2410,2716,-306,3251,3602,-351,4349,4671,-322,9.54,90.8,47.92,45.45,47.02,47.44,48.22,373,376,39,39,-3
"ATL","20102011",5012.82,82,218,262,-44,212.63,243.41,-30.79,2581,2638,-57,3532,3557,-25,4656,4849,-193,8.45,90.07,45.42,46.63,49.45,49.82,48.98,329,323,31,31,6
"BOS","20072008",4973.2,82,206,214,-8,173.59,200.42,-26.82,2328,2483,-155,3211,3331,-120,4164,4207,-43,8.85,91.38,49.05,46.41,48.39,49.08,49.74,362,374,46,45,-12
"BOS","20082009",4926.88,81,267,188,79,214.54,208.09,6.45,2460,2495,-35,3361,3315,46,4409,4365,44,10.85,92.46,58.68,50.76,49.65,50.34,50.25,363,353,45,42,10
"BOS","20092010",4932.53,82,196,191,5,200.76,193.03,7.73,2599,2445,154,3531,3238,293,4686,4210,476,7.54,92.19,50.65,50.98,51.53,52.16,52.68,307,316,41,42,-9
"BOS","20102011",4980.07,82,244,189,55,216.7,218.84,-2.14,2696,2683,13,3644,3619,25,4923,4791,132,9.05,92.96,56.35,49.75,50.12,50.17,50.68,300,301,68,67,-1
"BOS","20112012",4988.88,82,260,199,61,215.28,190.85,24.43,2653,2441,212,3663,3281,382,4964,4335,629,9.8,91.85,56.64,53.01,52.08,52.75,53.38,300,297,57,60,3
"BOS","20122013",2923.08,48,127,106,21,133.92,120.36,13.56,1557,1374,183,2168,1897,271,2929,2547,382,8.16,92.29,54.51,52.67,53.12,53.33,53.49,145,187,32,32,-42
"BOS","20132014",4978.82,82,258,171,87,223.33,189.36,33.97,2613,2385,228,3600,3227,373,4838,4278,560,9.87,92.83,60.14,54.12,52.28,52.73,53.07,266,305,40,41,-39
"BOS","20142015",5025.32,82,209,201,8,207.26,201.91,5.35,2546,2449,97,3550,3373,177,4817,4420,397,8.21,91.79,50.98,50.65,50.97,51.28,52.15,250,285,28,26,-35
"BOS","20152016",4978.52,82,236,228,8,211.29,221.41,-10.13,2619,2492,127,3555,3528,27,4691,4712,-21,9.01,90.85,50.86,48.83,51.24,50.19,49.89,275,319,31,31,-44
"BOS","20162017",4964.12,82,232,209,23,233.14,193.18,39.95,2721,2197,524,3793,3096,697,5014,4190,824,8.53,90.49,52.61,54.69,55.33,55.06,54.48,297,315,29,29,-18
"BOS","20172018",4982.37,82,267,211,56,248.19,208.51,39.68,2703,2400,303,3734,3333,401,4926,4405,521,9.88,91.21,55.86,54.34,52.97,52.84,52.79,290,279,24,22,11
"BOS","20182019",4983.53,82,257,212,45,230.68,215.59,15.09,2680,2416,264,3734,3326,408,4848,4376,472,9.59,91.23,54.8,51.69,52.59,52.89,52.56,294,288,24,25,6
"BUF","20072008",4981.05,82,250,233,17,205.28,188.01,17.27,2463,2315,148,3322,3205,117,4274,4234,40,10.15,89.94,51.76,52.2,51.55,50.9,50.24,417,391,18,16,26
"BUF","20082009",4898.18,82,242,229,13,195.79,196.25,-0.46,2507,2575,-68,3380,3528,-148,4424,4611,-187,9.65,91.11,51.38,49.94,49.33,48.93,48.97,411,399,23,24,12
"BUF","20092010",4791.8,82,231,201,30,208.39,212.13,-3.74,2588,2574,14,3492,3545,-53,4564,4541,23,8.93,92.19,53.47,49.56,50.14,49.62,50.13,361,343,24,23,18
"BUF","20102011",4999.08,82,240,228,12,218.96,212.22,6.74,2690,2514,176,3567,3522,45,4689,4690,-1,8.92,90.93,51.28,50.78,51.69,50.32,49.99,327,364,26,25,-37
"BUF","20112012",5010.63,82,211,223,-12,195.4,220.7,-25.3,2395,2571,-176,3288,3542,-254,4445,4617,-172,8.81,91.33,48.62,46.96,48.23,48.14,49.05,309,311,34,31,-2
"BUF","20122013",2946.13,48,118,139,-21,108.18,143.44,-35.26,1339,1606,-267,1799,2220,-421,2405,2938,-533,8.81,91.34,45.91,42.99,45.47,44.76,45.01,198,209,22,23,-11
"BUF","20132014",4894.52,82,150,243,-93,179.43,251.66,-72.23,2157,2816,-659,2935,3882,-947,3924,5120,-1196,6.95,91.37,38.17,41.62,43.37,43.05,43.39,293,306,34,33,-13
"BUF","20142015",4989.98,82,153,269,-116,165.69,251.72,-86.02,1984,2921,-937,2640,4096,-1456,3446,5630,-2184,7.71,90.79,36.26,39.69,40.45,39.19,37.97,260,297,29,28,-37
