shot_x,shot_y,shot_distance,is_shot_made,period,shot_type
226,90,24,TRUE,1,3PT Field Goal
-2,63,6,TRUE,1,2PT Field Goal
5,29,2,TRUE,1,2PT Field Goal
-6,18,1,FALSE,1,2PT Field Goal
-228,8,22,TRUE,1,3PT Field Goal
96,25,9,FALSE,2,2PT Field Goal
-204,195,28,TRUE,2,3PT Field Goal
6,25,2,TRUE,2,2PT Field Goal
113,52,12,FALSE,2,2PT Field Goal
25,281,28,TRUE,3,3PT Field Goal
5,282,28,TRUE,3,3PT Field Goal
-21,267,26,FALSE,3,3PT Field Goal
144,221,26,FALSE,3,3PT Field Goal
18,257,25,FALSE,3,3PT Field Goal
199,173,26,FALSE,3,3PT Field Goal
8,14,1,TRUE,3,2PT Field Goal
7,51,5,FALSE,3,2PT Field Goal
-112,0,11,FALSE,4,2PT Field Goal
6,25,2,TRUE,4,2PT Field Goal
38,171,17,TRUE,4,2PT Field Goal
-82,141,16,TRUE,1,2PT Field Goal
212,132,24,FALSE,1,3PT Field Goal
-160,0,16,TRUE,1,2PT Field Goal
57,46,7,FALSE,1,2PT Field Goal
24,26,3,FALSE,2,2PT Field Goal
104,164,19,TRUE,2,2PT Field Goal
171,179,24,TRUE,2,3PT Field Goal
-227,64,23,FALSE,2,3PT Field Goal
-13,13,1,TRUE,3,2PT Field Goal
-137,214,25,TRUE,3,3PT Field Goal
-50,132,14,FALSE,3,2PT Field Goal
161,185,24,FALSE,3,3PT Field Goal
-24,134,13,FALSE,3,2PT Field Goal
27,26,3,TRUE,3,2PT Field Goal
4,8,0,TRUE,3,2PT Field Goal
-154,27,15,TRUE,3,2PT Field Goal
97,17,9,TRUE,3,2PT Field Goal
-226,105,24,TRUE,3,3PT Field Goal
-46,233,23,FALSE,3,2PT Field Goal
156,193,24,TRUE,4,3PT Field Goal
33,16,3,FALSE,4,2PT Field Goal
135,211,25,FALSE,4,3PT Field Goal
101,231,25,TRUE,4,3PT Field Goal
-27,13,2,FALSE,4,2PT Field Goal
-68,239,24,FALSE,1,3PT Field Goal
-149,188,23,FALSE,1,3PT Field Goal
11,261,26,TRUE,1,3PT Field Goal
-6,9,1,TRUE,1,2PT Field Goal
22,10,2,FALSE,1,2PT Field Goal
-228,-7,22,TRUE,2,3PT Field Goal
25,26,3,FALSE,2,2PT Field Goal
92,224,24,FALSE,2,3PT Field Goal
-4,8,0,FALSE,2,2PT Field Goal
46,249,25,FALSE,3,3PT Field Goal
