pitch_type,release_speed,release_spin_rate,plate_x,plate_z,type,balls,strikes,events
SL,91.8,2458,-0.7201,2.7612,S,3,2,strikeout
FF,98.9,2411,-1.3221,3.8565,B,2,2,NA
CU,85.8,2694,-0.3128,3.1112,S,2,1,NA
FF,97.8,2470,-1.0696,4.0263,B,1,1,NA
CU,83.7,2677,-0.5142,3.1244,S,1,0,NA
FF,98.6,2534,-1.0901,2.4825,B,0,0,NA
FT,96.2,2317,0.7727,2.1647,S,1,2,strikeout
SL,93.2,2595,1.3555,2.6942,B,0,2,NA
FF,97.2,2388,0.7964,2.5823,S,0,1,NA
FF,98.1,2559,0.4248,3.4177,S,0,0,NA
SL,92.6,2592,-0.5859,2.713,X,2,2,field_out
SL,93,2484,-1.1923,2.7649,B,1,2,NA
SL,92.2,2486,0.5098,3.7229,S,1,1,NA
FF,98,2482,-0.8931,2.3856,S,1,0,NA
CH,90,1835,-0.0788,0.6979,B,0,0,NA
SL,93.1,2638,-0.7031,2.9289,S,1,2,strikeout
SL,92.8,2543,0.4229,2.9268,S,1,1,NA
CU,83,2706,-0.619,2.2025,S,1,0,NA
CH,89.5,1781,-1.2848,3.2966,B,0,0,NA
SL,91.8,2446,1.445,2.5745,X,1,2,field_out
FF,98.5,2662,0.3152,2.7506,S,1,2,NA
CH,90.7,1760,-0.7148,2.3921,S,1,1,NA
CH,91.1,1799,-0.974,1.6739,B,0,1,NA
CH,90.1,1777,-0.8472,2.8095,S,0,0,NA
FF,98.4,2496,-0.3362,2.8004,X,1,2,field_out
SL,92.7,2554,0.0246,2.9745,S,1,1,NA
FF,96.4,2461,0.2559,3.2482,S,1,0,NA
CH,89.6,1654,-1.6014,2.5159,B,0,0,NA
SL,91.7,2778,1.4547,1.3169,S,2,2,strikeout
SL,93.1,2611,1.2056,0.6774,B,1,2,NA
FT,97.3,2228,-0.0601,2.0603,S,1,2,NA
SL,93.8,2655,1.6645,0.6119,B,0,2,NA
FF,98.1,2527,1.1533,2.5401,S,0,2,NA
SL,93.3,2477,1.2138,1.8791,S,0,1,NA
SL,92.6,2496,0.4959,1.9994,S,0,0,NA
FF,97.3,2354,-0.4687,2.5432,S,3,2,strikeout
SL,92.8,2596,1.3408,1.2331,B,2,2,NA
FF,97.4,2356,1.1178,2.5555,S,2,1,NA
CH,89.9,1717,-0.5855,1.6369,B,1,1,NA
CH,89.6,1608,-2.069,1.8736,B,0,1,NA
CU,83.7,2571,0.1399,1.7017,S,0,0,NA
SL,91,2529,0.3103,2.3477,X,2,2,field_out
SL,90.8,2509,1.1498,1.5819,B,1,2,NA
SL,89.9,2495,1.5181,2.3946,S,1,1,NA
